Country Name,Country Code,alcohol_pc
Aruba,ABW,
Africa Eastern and Southern,AFE,5.17091073
Afghanistan,AFG,0.21
Africa Western and Central,AFW,6.835266062
Angola,AGO,6.94
Albania,ALB,7.17
Andorra,AND,11.02
Arab World,ARB,0.618598082
United Arab Emirates,ARE,3.9
Argentina,ARG,9.65
Armenia,ARM,5.55
American Samoa,ASM,
Antigua and Barbuda,ATG,6.38
Australia,AUS,10.51
Austria,AUT,11.96
Azerbaijan,AZE,4.41
Burundi,BDI,7.19
Belgium,BEL,11.08
Benin,BEN,2.81
Burkina Faso,BFA,12.03
Bangladesh,BGD,0.019
Bulgaria,BGR,12.65
Bahrain,BHR,1.09
"Bahamas, The",BHS,4.78
Bosnia and Herzegovina,BIH,7.15
Belarus,BLR,11.45
Belize,BLZ,6.22
Bermuda,BMU,
Bolivia,BOL,4.43
Brazil,BRA,7.42
Barbados,BRB,9.69
Brunei Darussalam,BRN,0.48
Bhutan,BTN,0.43
Botswana,BWA,6.59
Central African Republic,CAF,2.38
Canada,CAN,8.94
Central Europe and the Baltics,CEB,11.93207958
Switzerland,CHE,11.53
Channel Islands,CHI,
Chile,CHL,9.07
China,CHN,7.05
Cote d'Ivoire,CIV,2.71
Cameroon,CMR,5.65
"Congo, Dem. Rep.",COD,2
"Congo, Rep.",COG,9.27
Colombia,COL,5.74
Comoros,COM,0.69
Cabo Verde,CPV,5.6
Costa Rica,CRI,4.87
Caribbean small states,CSS,5.794512657
Cuba,CUB,5.83
Curacao,CUW,
Cayman Islands,CYM,
Cyprus,CYP,10.81
Czech Republic,CZE,14.45
Germany,DEU,12.91
Djibouti,DJI,0.43
Dominica,DMA,11.18
Denmark,DNK,10.26
Dominican Republic,DOM,6.68
Algeria,DZA,0.95
East Asia & Pacific (excluding high income),EAP,6.194505725
Early-demographic dividend,EAR,3.892436163
East Asia & Pacific,EAS,6.430730189
Europe & Central Asia (excluding high income),ECA,7.680729612
Europe & Central Asia,ECS,9.764031941
Ecuador,ECU,4.2
"Egypt, Arab Rep.",EGY,0.36
Euro area,EMU,11.40251253
Eritrea,ERI,1.44
Spain,ESP,12.72
Estonia,EST,9.23
Ethiopia,ETH,2.36
European Union,EUU,11.44471551
Fragile and conflict affected situations,FCS,4.358818954
Finland,FIN,10.78
Fiji,FJI,3.32
France,FRA,12.33
Faroe Islands,FRO,
"Micronesia, Fed. Sts.",FSM,2.48
Gabon,GAB,8.74
United Kingdom,GBR,11.45
Georgia,GEO,8.25
Ghana,GHA,2.75
Gibraltar,GIB,
Guinea,GIN,1.11
"Gambia, The",GMB,3.55
Guinea-Bissau,GNB,5.38
Equatorial Guinea,GNQ,7.23
Greece,GRC,10.18
Grenada,GRD,9.48
Greenland,GRL,
Guatemala,GTM,2.45
Guam,GUM,
Guyana,GUY,6.89
High income,HIC,9.779655995
"Hong Kong SAR, China",HKG,
Honduras,HND,3.76
Heavily indebted poor countries (HIPC),HPC,4.065759856
Croatia,HRV,9.23
Haiti,HTI,2.73
Hungary,HUN,11.35
IBRD only,IBD,5.97662907
IDA & IBRD total,IBT,5.487421484
IDA total,IDA,3.683914896
IDA blend,IDB,4.626759114
Indonesia,IDN,0.57
IDA only,IDX,3.201362804
Isle of Man,IMN,
India,IND,5.54
Not classified,INX,
Ireland,IRL,12.88
"Iran, Islamic Rep.",IRN,1.03
Iraq,IRQ,0.39
Iceland,ISL,9.12
Israel,ISR,4.21
Italy,ITA,7.84
Jamaica,JAM,4.22
Jordan,JOR,0.69
Japan,JPN,7.96
Kazakhstan,KAZ,4.76
Kenya,KEN,2.78
Kyrgyz Republic,KGZ,6.26
Cambodia,KHM,6.64
Kiribati,KIR,0.46
St. Kitts and Nevis,KNA,8.94
"Korea, Rep.",KOR,9.7
Kuwait,KWT,0.003
Latin America & Caribbean (excluding high income),LAC,6.33674686
Lao PDR,LAO,10.72
Lebanon,LBN,1.71
Liberia,LBR,6.12
Libya,LBY,0.019
St. Lucia,LCA,10.6
Latin America & Caribbean,LCN,6.331605519
Least developed countries: UN classification,LDC,3.33836611
Low income,LIC,3.195235954
Liechtenstein,LIE,
Sri Lanka,LKA,4.1
Lower middle income,LMC,4.43451737
Low & middle income,LMY,5.4271187
Lesotho,LSO,4.59
Late-demographic dividend,LTE,7.24966961
Lithuania,LTU,13.22
Luxembourg,LUX,12.94
Latvia,LVA,12.77
"Macao SAR, China",MAC,
St. Martin (French part),MAF,
Morocco,MAR,0.69
Monaco,MCO,
Moldova,MDA,11.43
Madagascar,MDG,1.97
Maldives,MDV,2.22
Middle East & North Africa,MEA,0.812701073
Mexico,MEX,5
Marshall Islands,MHL,
Middle income,MIC,5.615465949
North Macedonia,MKD,6.16
Mali,MLI,1.28
Malta,MLT,7.99
Myanmar,MMR,5.12
Middle East & North Africa (excluding high income),MNA,0.682973122
Montenegro,MNE,11.47
Mongolia,MNG,8.19
Northern Mariana Islands,MNP,
Mozambique,MOZ,2.3
Mauritania,MRT,0.036
Mauritius,MUS,4.35
Malawi,MWI,3.63
Malaysia,MYS,0.85
North America,NAC,9.772314908
Namibia,NAM,5.43
New Caledonia,NCL,
Niger,NER,0.67
Nigeria,NGA,10.84
Nicaragua,NIC,5.18
Netherlands,NLD,9.61
Norway,NOR,7.41
Nepal,NPL,2.05
